id,name,parent_id,geo_type,latitude,longitude
494,Franklin,tennessee,City,35.9250637,-86.8688899
495,Flagstaff,arizona,City,35.1982836,-111.651302
496,Flower Mound,texas,City,33.0145673,-97.0969552
497,Weston,florida,City,26.1003654,-80.3997748
498,Waterloo,iowa,City,42.492786,-92.3425775
499,Union City,new jersey,City,40.6975898,-74.2631635
500,Mount Vernon,new york,City,40.9125992,-73.8370786
501,Fort Myers,florida,City,26.640628,-81.8723084
502,Dothan,alabama,City,31.2232313,-85.3904888
503,Rancho Cordova,california,City,38.5890723,-121.302728
504,Redondo Beach,california,City,33.8491816,-118.3884078
505,Jackson,tennessee,City,35.6145169,-88.8139469
506,Pasco,washington,City,46.2395793,-119.1005657
507,St. Charles,missouri,City,38.7881062,-90.4974359
508,Eau Claire,wisconsin,City,44.811349,-91.4984941
509,North Richland Hills,texas,City,32.8342952,-97.2289029
510,Bismarck,north dakota,City,46.8083268,-100.7837392
511,Yorba Linda,california,City,33.8886259,-117.8131125
512,Kenner,louisiana,City,29.9940924,-90.2417434
513,Walnut Creek,california,City,37.9100783,-122.0651819
514,Frederick,maryland,City,39.4142688,-77.4105409
515,Oshkosh,wisconsin,City,44.0247062,-88.5426136
516,Pittsburg,california,City,38.0279762,-121.8846806
517,Palo Alto,california,City,37.4418834,-122.1430195
518,Bossier City,louisiana,City,32.5159852,-93.7321228
519,Portland,maine,City,43.661471,-70.2553259
520,St. Cloud,minnesota,City,45.5579451,-94.1632404
521,Davis,california,City,38.5449065,-121.7405167
522,South San Francisco,california,City,37.654656,-122.4077498
523,Camarillo,california,City,34.2163937,-119.0376023
524,North Little Rock,arkansas,City,34.769536,-92.2670941
525,Schenectady,new york,City,42.8142432,-73.9395687
526,Gaithersburg,maryland,City,39.1434406,-77.2013705
527,Harlingen,texas,City,26.1906306,-97.6961026
528,Woodbury,minnesota,City,44.9238552,-92.9593797
529,Eagan,minnesota,City,44.8041322,-93.1668858
530,Yuba City,california,City,39.1404477,-121.6169108
531,Maple Grove,minnesota,City,45.0724642,-93.4557877
532,Youngstown,ohio,City,41.0997803,-80.6495194
533,Skokie,illinois,City,42.0324025,-87.7416246
534,Kissimmee,florida,City,28.2919557,-81.407571
535,Johnson City,tennessee,City,36.3134397,-82.3534727
536,Victoria,texas,City,28.8052674,-97.0035982
537,San Clemente,california,City,33.4269728,-117.6119925
538,Bayonne,new jersey,City,40.6687141,-74.1143091
539,Laguna Niguel,california,City,33.5225261,-117.7075526
540,East Orange,new jersey,City,40.767323,-74.2048677
541,Shawnee,kansas,City,39.0228485,-94.7151865
542,Homestead,florida,City,25.4687224,-80.4775569
543,Delray Beach,florida,City,26.4614625,-80.0728201
544,Rockville,maryland,City,39.0839973,-77.1527578
545,Janesville,wisconsin,City,42.6827885,-89.0187222
546,Conway,arkansas,City,35.0886963,-92.4421011
547,Pico Rivera,california,City,33.9830688,-118.096735
548,Lorain,ohio,City,41.452819,-82.1823746
549,Montebello,california,City,34.0165053,-118.1137535
550,Lodi,california,City,38.1341477,-121.2722194
551,New Braunfels,texas,City,29.7030024,-98.1244531
552,Marysville,washington,City,48.0517637,-122.1770818
553,Tamarac,florida,City,26.2128609,-80.2497707
554,Madera,california,City,36.9613356,-120.0607176
555,Conroe,texas,City,30.3118769,-95.4560512
556,Santa Cruz,california,City,36.9741171,-122.0307963
557,Eden Prairie,minnesota,City,44.8546856,-93.470786
558,Cheyenne,wyoming,City,41.1399814,-104.8202462
559,Daytona Beach,florida,City,29.2108147,-81.0228331
560,Alpharetta,georgia,City,34.0753762,-84.2940899
561,Hamilton,ohio,City,39.3995008,-84.5613355
562,Waltham,massachusetts,City,42.3764852,-71.2356113
563,Coon Rapids,minnesota,City,45.1732394,-93.3030063
564,Haverhill,massachusetts,City,42.7762015,-71.0772796
565,Council Bluffs,iowa,City,41.2619444,-95.8608333
566,Taylor,michigan,City,42.240872,-83.2696509
